work;separation;partner;marriage;children
19;19;20;21;29
22;28;;;
;;;;
14;17;;18;23
18;17;35;21;22
19;37;;20;21
19;21;;21;21
17;18;20;;31
21;20;;22;23
18;25;25;25;17
22;32;;33;37
;;;;
;;;;
21;;;;
;;;;
18;;;23;
16;16;;18;28
19;26;;26;26
23;25;;23;24
19;;;23;24
23;19;19;19;20
18;;;;19
23;;;22;23
;;;;
;;21;21;23
23;23;23;23;23
22;;;;
16;;19;19;20
20;27;25;25;27
16;23;;21;21
18;20;;;
23;19;;19;23
24;34;27;23;
22;16;;22;23
18;20;;20;20
18;18;19;22;20
16;21;;21;22
18;18;;26;27
20;26;;24;28
20;20;25;;
14;27;;24;26
;;;;
;;;;
16;16;;23;24
19;23;;23;24
16;;;;
18;20;;24;25
14;;;24;
;;;;
17;20;32;;34
22;23;23;24;24
27;23;;25;25
14;14;;18;18
23;;19;21;22
17;;24;26;
23;25;;27;27
20;16;16;16;17
;;;31;32
16;28;25;25;
16;29;;29;30
;;;30;33
21;19;18;18;19
19;24;;24;25
18;30;;26;27
21;;;25;32
19;;;19;19
16;28;;28;28
;16;20;20;22
20;20;24;25;26
20;;;;
29;;;38;38
15;28;45;49;27
18;18;;23;26
21;30;;26;27
16;16;;25;27
17;;;;
22;18;;;
18;24;;23;23
21;21;;;
;27;;27;27
16;;;25;28
23;;;;
18;24;;24;25
19;;;24;24
23;23;;19;20
18;33;;27;30
20;22;;22;23
;;;;
21;17;;29;30
;;;;
18;;;21;
18;;;;
19;;32;20;22
22;;;19;21
25;18;29;;
18;22;22;;
19;18;;25;
24;19;;20;21
;;;;
;20;;20;
20;18;;20;21
23;17;;25;28
20;;;22;
20;19;;21;
;27;;31;32
21;;;;
22;34;23;23;24
20;20;;22;
22;19;;22;26
21;;32;35;33
;;;20;21
24;24;;;
22;;;22;
20;24;;24;
24;25;18;18;
13;22;;22;28
19;19;;21;22
16;20;;22;23
19;20;20;24;25
17;;;29;19
20;;;22;23
19;19;;;22
17;;;21;22
21;21;38;;
19;19;23;;
;;;28;29
;32;;;
24;24;;;
22;;;;
20;;;17;18
17;;;20;
;;;;
;;;;
20;20;;18;19
;;;;
27;27;;28;29
;;;;
20;20;;23;24
20;20;;22;24
;17;;17;21
20;20;;21;22
24;25;;25;26
22;;;22;23
23;23;;19;19
18;;;22;23
23;;;;
18;30;;23;23
22;23;;23;24
;;;;
;;;;
;16;;26;27
18;17;;24;26
14;14;;21;
21;30;;30;32
21;24;;24;25
18;36;19;20;21
17;17;22;27;
;18;19;;
19;19;19;21;21
18;18;19;21;21
32;32;35;36;
18;20;;20;21
18;17;19;;
19;20;20;;23
16;19;;19;
;;;;
31;33;52;;24
;;;23;24
17;26;;26;27
21;21;33;31;36
21;25;;33;19
;;25;25;27
;;;;
18;34;28;30;33
20;17;18;;
